file,dataset,salience_type,token_budget,rouge1,rouge2,rougeL,bert_score_f1,avg_tokens_before,avg_tokens_after,percentage_reduction,mean_diff,ci_low,ci_high,p_value
data/processed/summaries/cnn_dailymail_pairs_full_summaries.json,cnn_dailymail_pairs_full_summaries.json,,,0.3435706452555041,0.1291164234233389,0.230081483730723,0.8634170889854431,,,,,,,
data/processed/summaries/cnn_dailymail_tfidf_salience_token_budget_512_truncated_summaries.json,cnn_dailymail_tfidf,token,512.0,0.3770992872511435,0.1646723814901449,0.2650239209089554,0.873120129108429,852.2939947780679,355.56997389033944,58.280830785047634,,,,
data/processed/summaries/cnn_dailymail_pairs_full_summaries.json,cnn_dailymail_pairs_full_summaries.json,,,0.3435706452555041,0.1291164234233389,0.230081483730723,0.8634170889854431,,,,,,,
data/processed/summaries/cnn_dailymail_cosine_salience_token_budget_512_truncated_summaries.json,cnn_dailymail_cosine,token,512.0,0.3137941379147531,0.1167267414790415,0.2161702762481778,0.861135721206665,852.2939947780679,283.0798085291558,66.78613128057202,,,,
data/processed/summaries/cnn_dailymail_pairs_full_summaries.json,cnn_dailymail_pairs_full_summaries.json,,,0.3435706452555041,0.1291164234233389,0.230081483730723,0.8634170889854431,,,,,,,
data/processed/summaries/cnn_dailymail_hybrid_salience_token_budget_512_truncated_summaries.json,cnn_dailymail_hybrid,token,512.0,0.3219171194942094,0.123397770560929,0.2229216339352758,0.862764835357666,852.2939947780679,288.073455178416,66.200224694364,,,,
data/processed/summaries/govreport_pairs_full_summaries.json,govreport_pairs_full_summaries.json,,,0.298442250039501,0.0833484109630842,0.148536091808195,0.8252520561218262,,,,,,,
data/processed/summaries/govreport_tfidf_salience_token_budget_4096_truncated_summaries.json,govreport_tfidf,token,4096.0,0.3555450753713035,0.1230218562767598,0.1735810133011321,0.8397777676582336,9159.939362795478,3589.1891058581705,60.81645343159998,,,,
data/processed/summaries/govreport_pairs_full_summaries.json,govreport_pairs_full_summaries.json,,,0.298442250039501,0.0833484109630842,0.148536091808195,0.8252520561218262,,,,,,,
data/processed/summaries/govreport_cosine_salience_token_budget_4096_truncated_summaries.json,govreport_cosine,token,4096.0,0.3563262676601872,0.1231436160226712,0.1716860252494235,0.8388003706932068,9159.939362795478,3543.865364850976,61.31125737311168,,,,
data/processed/summaries/govreport_pairs_full_summaries.json,govreport_pairs_full_summaries.json,,,0.298442250039501,0.0833484109630842,0.148536091808195,0.8252520561218262,,,,,,,
data/processed/summaries/govreport_hybrid_salience_token_budget_4096_truncated_summaries.json,govreport_hybrid,token,4096.0,0.3567997056383249,0.1258740581727,0.175009431560101,0.8397465348243713,9159.939362795478,3545.1603288797533,61.29712011763993,,,,
data/processed/summaries/arxiv_tfidf_salience_token_budget_4096_truncated_summaries.json,arxiv_tfidf,token,4096.0,0.3419198458964666,0.0993867913995302,0.1931281162529917,0.8343207240104675,6971.426160337553,3357.8607594936707,51.83394785707542,,,,
data/processed/summaries/arxiv_cosine_salience_token_budget_4096_truncated_summaries.json,arxiv_cosine,token,4096.0,0.3344921836537077,0.0872423833974633,0.1844968092955493,0.8299183249473572,8065.189440993789,3467.4254658385094,57.00751369565778,,,,
data/processed/summaries/arxiv_hybrid_salience_token_budget_4096_truncated_summaries.json,arxiv_hybrid,token,4096.0,0.334537993707009,0.0880574389783092,0.1847154968445449,0.8299568295478821,8065.189440993789,3471.7298136645963,56.95414423846674,,,,
